No.,名称,经度,纬度,值
502,0,121.640625000,24.609375000,-3432.914
503,0,123.046875000,24.609375000,-4833.022
504,0,124.453125000,24.609375000,-4892.147
505,0,125.859375000,24.609375000,-4848.097
506,0,127.265625000,24.609375000,-4804.046
507,0,128.671875000,24.609375000,-4759.996
508,0,130.078125000,24.609375000,-4501.449
509,0,131.484375000,24.609375000,-4028.405
510,0,132.890625000,24.609375000,-3555.362
511,0,134.296875000,24.609375000,-3082.318
